ID;Index;EnglishName;ChineseName;ItemType;Notes
Item_GreenPoison;710;GreenPoison;绿毒药;Amulet;
Item_RedPoison;711;RedPoison;红毒药;Amulet;
Item_Amulet;712;Amulet;护身符;Amulet;
Item_AmuletOfRevival;714;AmuletOfRevival;复活护符;Amulet;
Item_MirArmourM;45;MirArmour(M);米尔战甲（男）;Armour;
Item_MirArmourM1;46;MirArmour(M)1;米尔战甲（男）1;Armour;
Item_MirArmourM2;47;MirArmour(M)2;米尔战甲（男）2;Armour;
Item_MirArmourM3;48;MirArmour(M)3;米尔战甲（男）3;Armour;
Item_MirArmourM4;49;MirArmour(M)4;米尔战甲（男）4;Armour;
Item_MirArmourM5;50;MirArmour(M)5;米尔战甲（男）5;Armour;
Item_MirArmourF;51;MirArmour(F);米尔战甲（女）;Armour;
Item_MirArmourF1;52;MirArmour(F)1;米尔战甲（女）1;Armour;
Item_MirArmourF2;53;MirArmour(F)2;米尔战甲（女）2;Armour;
Item_MirArmourF3;54;MirArmour(F)3;米尔战甲（女）3;Armour;
Item_MirArmourF4;55;MirArmour(F)4;米尔战甲（女）4;Armour;
Item_MirArmourF5;56;MirArmour(F)5;米尔战甲（女）5;Armour;
Item_BoneRobeM;84;BoneRobe(M);白骨长袍（男）;Armour;
Item_BoneRobeF;85;BoneRobe(F);白骨长袍（女）;Armour;
Item_TarragonArmourM;140;TarragonArmour(M);泰拉冈铠甲（男）;Armour;
Item_TarragonArmourM1;141;TarragonArmour(M)1;泰拉冈铠甲（男）1;Armour;
Item_TarragonArmourM2;142;TarragonArmour(M)2;泰拉冈铠甲（男）2;Armour;
Item_TarragonArmourM3;143;TarragonArmour(M)3;泰拉冈铠甲（男）3;Armour;
Item_TarragonArmourM4;144;TarragonArmour(M)4;泰拉冈铠甲（男）4;Armour;
Item_TarragonArmourM5;145;TarragonArmour(M)5;泰拉冈铠甲（男）5;Armour;
Item_TarragonArmourF;146;TarragonArmour(F);泰拉冈铠甲（女）;Armour;
Item_TarragonArmourF1;147;TarragonArmour(F)1;泰拉冈铠甲（女）1;Armour;
Item_TarragonArmourF2;148;TarragonArmour(F)2;泰拉冈铠甲（女）2;Armour;
Item_TarragonArmourF3;149;TarragonArmour(F)3;泰拉冈铠甲（女）3;Armour;
Item_TarragonArmourF4;150;TarragonArmour(F)4;泰拉冈铠甲（女）4;Armour;
Item_TarragonArmourF5;151;TarragonArmour(F)5;泰拉冈铠甲（女）5;Armour;
Item_RaidersArmourM;152;RaidersArmour(M);掠夺者铠甲（男）;Armour;
Item_RaidersArmourM1;153;RaidersArmour(M)1;掠夺者铠甲（男）1;Armour;
Item_RaidersArmourM2;154;RaidersArmour(M)2;掠夺者铠甲（男）2;Armour;
Item_RaidersArmourM3;155;RaidersArmour(M)3;掠夺者铠甲（男）3;Armour;
Item_RaidersArmourM4;156;RaidersArmour(M)4;掠夺者铠甲（男）4;Armour;
Item_RaidersArmourM5;157;RaidersArmour(M)5;掠夺者铠甲（男）5;Armour;
Item_RaidersArmourF;158;RaidersArmour(F);掠夺者铠甲（女）;Armour;
Item_RaidersArmourF1;159;RaidersArmour(F)1;掠夺者铠甲（女）1;Armour;
Item_RaidersArmourF2;160;RaidersArmour(F)2;掠夺者铠甲（女）2;Armour;
Item_RaidersArmourF3;161;RaidersArmour(F)3;掠夺者铠甲（女）3;Armour;
Item_RaidersArmourF4;162;RaidersArmour(F)4;掠夺者铠甲（女）4;Armour;
