ID;EnglishName;ChineseName;Spell;Notes
Magic_Portal;Portal;空间之门;150;
Magic_BackStep;BackStep;后跳;BackStep;
Magic_BattleCry;BattleCry;战吼;BattleCry;
Magic_BindingShot;BindingShot;束缚箭;BindingShot;
Magic_BladeAvalanche;BladeAvalanche;旋风斩;BladeAvalanche;
Magic_BlessedArmour;BlessedArmour;神圣战甲术;BlessedArmour;
Magic_Blink;Blink;闪烁;Blink;
Magic_Blizzard;Blizzard;暴风雪;Blizzard;
Magic_CatTongue;CatTongue;猫之舌;CatTongue;
Magic_Concentration;Concentration;集中射击;Concentration;
Magic_CounterAttack;CounterAttack;反击;CounterAttack;
Magic_CresentSlash;CresentSlash;新月斩;CrescentSlash;
Magic_CrippleShot;CrippleShot;致残箭;CrippleShot;
Magic_CrossHalfMoon;CrossHalfMoon;交叉半月;CrossHalfMoon;
Magic_Curse;Curse;诅咒术;Curse;
Magic_DarkBody;DarkBody;暗影之躯;DarkBody;
Magic_DelayedExplosion;DelayedExplosion;延时爆裂;DelayedExplosion;
Magic_DoubleShot;DoubleShot;二连射;DoubleShot;
Magic_DoubleSlash;DoubleSlash;双重斩;DoubleSlash;
Magic_ElectricShock;ElectricShock;雷电术;ElectricShock;
Magic_ElementalBarrier;ElementalBarrier;元素屏障;ElementalBarrier;
Magic_ElementalShot;ElementalShot;元素射击;ElementalShot;
Magic_EnergyRepulsor;EnergyRepulsor;能量反震;EnergyRepulsor;
Magic_EnergyShield;EnergyShield;能量护盾;EnergyShield;
Magic_Entrapment;Entrapment;缠绕;Entrapment;
Magic_ExplosiveTrap;ExplosiveTrap;爆裂陷阱;ExplosiveTrap;
Magic_Blink;Blink;闪烁;FastMove;
Magic_FatalSword;FatalSword;致命剑法;FatalSword;
Magic_Fencing;Fencing;基本剑术;Fencing;
Magic_FireBall;FireBall;火球术;FireBall;
Magic_FireBang;FireBang;爆裂火焰;FireBang;
Magic_FireBounce;FireBounce;火焰飞弹;FireBounce;
Magic_FireBurst;FireBurst;火焰爆裂;FireBurst;
Magic_FireWall;FireWall;火墙;FireWall;
Magic_FlameDisruptor;FlameDisruptor;焰火分身;FlameDisruptor;
Magic_FlameField;FlameField;火焰领域;FlameField;
Magic_FlamingSword;FlamingSword;烈火剑法;FlamingSword;
Magic_FlashDash;FlashDash;闪影冲刺;FlashDash;
Magic_Focus;Focus;专注;Focus;
Magic_FrostCrunch;FrostCrunch;冰霜嚎叫;FrostCrunch;
Magic_Fury;Fury;狂暴;Fury;
Magic_GreatFireBall;GreatFireBall;大火球;GreatFireBall;
Magic_HalfMoon;HalfMoon;半月弯刀;HalfMoon;
Magic_Hallucination;Hallucination;幻觉术;Hallucination;
Magic_Haste;Haste;疾速;Haste;
Magic_Healing;Healing;治愈术;Healing;
Magic_HealingCircle;HealingCircle;治愈光环;HealingCircle;
Magic_HeavenlySword;HeavenlySword;天剑术;HeavenlySword;
Magic_HellFire;HellFire;地狱火;HellFire;
Magic_Hemorrhage;Hemorrhage;流血打击;Hemorrhage;
Magic_Hiding;Hiding;隐身术;Hiding;
Magic_IceStorm;IceStorm;冰咆哮;IceStorm;
