ID;Index;FileName;EnglishName;ChineseName;Notes
Map_BichonProvince;1;0;BichonProvince;比奇省;
Map_Palace;2;0122;Palace;王宫;
Map_MeatStore;3;0102;MeatStore;肉铺;
Map_ReagentStore;4;0108;ReagentStore;药材店;
Map_MedicineRoom;5;0109;MedicineRoom;医药房;
Map_Library;6;0104;Library;图书馆;
Map_BeautySaloon;7;0107;BeautySaloon;美容院;
Map_Inn;8;0125;Inn;旅馆;
Map_2FofInn;9;0126;2FofInn;旅馆二楼;
Map_WeaponStore;10;0103;WeaponStore;武器店;
Map_AccessoryStore;11;0105;AccessoryStore;饰品店;
Map_DrapersStore;12;0106;DrapersStore;布店;
Map_Tavern;13;0101;Tavern;酒馆;
Map_Kitchen;14;0100;Kitchen;厨房;
Map_PrivateHouse;15;0128;PrivateHouse;私宅;
Map_PrivateHouse;16;0129;PrivateHouse;私宅;
Map_PrivateHouse;17;0123;PrivateHouse;私宅;
Map_PrivateHouse;18;0124;PrivateHouse;私宅;
Map_Academy;19;0110;Academy;学院;
Map_Academy;20;0111;Academy;学院;
Map_Academy;21;0112;Academy;学院;
Map_ContestGround;22;0137;ContestGround;竞技场;
Map_B1ContestGround;23;0139;B1ContestGround;竞技场一楼;
Map_Barracks;24;0121;Barracks;兵营;
Map_Prison;25;0127;Prison;监狱;
Map_PrivateHouse;26;0130;PrivateHouse;私宅;
Map_PrivateHouse;27;0131;PrivateHouse;私宅;
Map_BorderRestaurant;28;0136;BorderRestaurant;边境餐厅;
Map_Library;29;0132;Library;图书馆;
Map_B1Residence;30;0138;B1Residence;一楼住宅;
Map_GroceryStore;31;0141;GroceryStore;杂货店;
Map_Warehouse;32;0140;Warehouse;仓库;
Map_MageHouse;33;0115;MageHouse;法师屋;
Map_NaturalCave;34;D011;NaturalCave;天然洞穴;
Map_NaturalCave;35;D012;NaturalCave;天然洞穴;
Map_HiddenRoom;36;DM001;HiddenRoom;密室;
Map_ConnectionPath;37;E001;ConnectionPath;连接通道;
Map_ConnectionPath;38;E002;ConnectionPath;连接通道;
Map_OmaCave_1F;39;D001;OmaCave_1F;奥玛洞穴;
Map_OmaCave_2F;40;D002;OmaCave_2F;奥玛洞穴;
Map_HiddenRoom;41;DM001A;HiddenRoom;密室;
Map_KingsTomb;42;DM002;KingsTomb;王陵;
Map_OmaCave_3F;43;D003;OmaCave_3F;奥玛洞穴;
Map_AncientNaturalCave;44;D001A;AncientNaturalCave;古老天然洞穴;
Map_AncientNaturalCave;45;D002A;AncientNaturalCave;古老天然洞穴;
Map_AncientNaturalCave;46;D003A;AncientNaturalCave;古老天然洞穴;
Map_DeadMineEntrance;47;D401;DeadMineEntrance;死矿入口;
Map_B1ofMine;48;D411;B1ofMine;死矿一层;
Map_B1ofMine;49;D413;B1ofMine;死矿一层;
Map_EastofDeadMine;50;D402;EastofDeadMine;死矿东部;
Map_B1ofMine;51;D414;B1ofMine;死矿一层;
Map_B2ofDeadMine;52;D404;B2ofDeadMine;死矿二层;
Map_OverPass;53;D416;OverPass;天桥;
Map_1FofDeadMine;54;D403;1FofDeadMine;死矿一层;
Map_OverPass;55;D412;OverPass;天桥;
Map_OreStoragePlace;56;D405;OreStoragePlace;矿石仓库;
Map_OverPass;57;D415;OverPass;天桥;
Map_SouthofDeadMine;58;D406;SouthofDeadMine;死矿南部;
