ID;Index;EnglishName;ChineseName;Level;Notes
Monster_ArcherGuard;1;ArcherGuard;弓箭守卫;0;
Monster_ArcherGuard1;2;ArcherGuard1;弓箭守卫1;0;
Monster_AssassinScroll;549;AssassinScroll;刺客卷轴;0;
Monster_Bear;441;Bear;棕熊;0;
Monster_BlueTurtle;514;BlueTurtle;蓝龟;0;
Monster_BoneArcher22;559;BoneArcher22;骨弓手22;0;
Monster_BoneBlademan22;558;BoneBlademan22;骨剑士22;0;
Monster_BoneCaptain22;560;BoneCaptain22;骨统领22;0;
Monster_BoneSpearman22;557;BoneSpearman22;骨枪兵22;0;
Monster_BoulderSpirit;545;BoulderSpirit;磐石之灵;0;
Monster_Donatello;556;Donatello;多纳泰罗;0;
Monster_FineSoul;440;FineSoul;纯净之魂;0;
Monster_FinialTurtle;516;FinialTurtle;终极玄龟;0;
Monster_Football;501;Football;足球;0;
Monster_Frozen_RedZuma;566;Frozen_RedZuma;冰封红雷祖玛;0;
Monster_Frozen_ZumaGuardian;565;Frozen_ZumaGuardian;冰封祖玛守护者;0;
Monster_Frozen_ZumaStatue;564;Frozen_ZumaStatue;冰封祖玛石像;0;
Monster_GameShop_Guard;500;GameShop_Guard;商城守卫;0;
Monster_GreenTurtle;513;GreenTurtle;绿龟;0;
Monster_Guard;3;Guard;守卫;0;
Monster_Guard1;4;Guard1;守卫1;0;
Monster_Guard2;5;Guard2;守卫2;0;
Monster_HellKnight2;521;HellKnight2;地狱骑士2;0;
Monster_HellKnight3;522;HellKnight3;地狱骑士3;0;
Monster_HellKnight4;523;HellKnight4;地狱骑士4;0;
Monster_HornedArcher;540;HornedArcher;角魔弓手;0;
Monster_HornedCommander;541;HornedCommander;角魔指挥官;0;
Monster_HornedMage;542;HornedMage;角魔法师;0;
Monster_HornedSorceror;538;HornedSorceror;角魔术士;0;
Monster_HornedWarrior;544;HornedWarrior;角魔战士;0;
Monster_Hugger;517;Hugger;抱握怪;0;
Monster_Hydra;432;Hydra;九头蛇;0;
Monster_Hydrax;537;Hydrax;海卓克斯;0;
Monster_KeelArcher;436;KeelArcher;龙骨弓手;0;
Monster_KeelWarrior;435;KeelWarrior;龙骨战士;0;
Monster_Lamia;438;Lamia;拉米亚;0;
Monster_Leopard;443;Leopard;猎豹;0;
Monster_Manticore;434;Manticore;蝎尾狮;0;
Monster_Michelangelo;554;Michelangelo;米开朗基罗;0;
Monster_Minion_Priest;446;Minion_Priest;侍从·祭司;0;
Monster_Minion_Rouge;447;Minion_Rouge;侍从·盗贼;0;
Monster_Minion_Warlock;445;Minion_Warlock;侍从·术士;0;
Monster_Minion_Warrior;444;Minion_Warrior;侍从·战士;0;
Monster_MudZombie;572;MudZombie;泥沼僵尸;0;
Monster_MutatedHugger;519;MutatedHugger;变异抱握怪;0;
Monster_PoisonHugger;518;PoisonHugger;剧毒抱握怪;0;
Monster_Raphael;555;Raphael;拉斐尔;0;
Monster_RedTurtle;512;RedTurtle;红龟;0;
Monster_SandStorm;437;SandStorm;沙暴;0;
Monster_SeaTurtle;561;SeaTurtle;海龟;0;
Monster_Sentry;6;Sentry;哨兵;0;
Monster_SmallDrake;433;SmallDrake;幼龙兽;0;
Monster_TaoistScroll;547;TaoistScroll;道士卷轴;0;
Monster_TowerTurtle;515;TowerTurtle;塔龟;0;
Monster_TucsonEgg;466;TucsonEgg;图桑之卵;0;
Monster_VisceralWorm2;470;VisceralWorm2;腐肠虫2;0;
Monster_WarriorScroll;546;WarriorScroll;战士卷轴;0;
Monster_WedgeMoth22;553;WedgeMoth22;楔形飞蛾22;0;
Monster_WizardScroll;548;WizardScroll;法师卷轴;0;
Monster_YoungTucson;467;YoungTucson;幼年图桑;0;
Monster_ZumaArcher22;552;ZumaArcher22;祖玛弓箭手22;0;
Monster_ZumaGuardian22;551;ZumaGuardian22;祖玛守护者22;0;
Monster_ZumaStatue22;550;ZumaStatue22;祖玛石像22;0;
Monster_Hen;29;Hen;鸡;2;
Monster_BugBat;166;BugBat;蝙蝠;5;
Monster_CharmedSnake;18;CharmedSnake;魅惑毒蛇;10;
Monster_Scarecrow;39;Scarecrow;稻草人;10;
Monster_Scarecrow0;40;Scarecrow0;稻草人0;10;
Monster_Scarecrow1;41;Scarecrow1;稻草人1;10;
Monster_SnakeTotem;17;SnakeTotem;蛇图腾;10;
Monster_SpittingToad;16;SpittingToad;喷毒蛤蟆;10;
Monster_VampireSpider;15;VampireSpider;吸血蜘蛛;10;
Monster_ClZombie;124;ClZombie;布衣僵尸;12;
Monster_ClZombie0;125;ClZombie0;布衣僵尸0;12;
Monster_Deer;30;Deer;鹿;12;
Monster_Deer1;31;Deer1;鹿1;12;
Monster_Yob;37;Yob;山羊;12;
Monster_Yob0;38;Yob0;山羊0;12;
Monster_Zombie3;112;Zombie3;僵尸3;12;
Monster_Zombie30;113;Zombie30;僵尸30;12;
Monster_Bull;33;Bull;公牛;13;
Monster_HookingCat;42;HookingCat;钉耙猫;13;
Monster_HookingCat0;43;HookingCat0;钉耙猫0;13;
Monster_Pig;32;Pig;猪;13;
Monster_RakingCat;44;RakingCat;多钩猫;13;
Monster_RakingCat0;45;RakingCat0;多钩猫0;13;
Monster_Sheep;34;Sheep;羊;13;
Monster_BabyDragon;26;BabyDragon;幼龙;15;
Monster_BabyPig;19;BabyPig;小猪;15;
Monster_BabySkeleton;22;BabySkeleton;小骷髅;15;
Monster_BabySnowMan;28;BabySnowMan;雪人宝宝;15;
Monster_Baekdon;23;Baekdon;白顿;15;
Monster_BlackKitten;25;BlackKitten;黑猫;15;
Monster_BoneFamiliar;9;BoneFamiliar;白骨随从;15;
Monster_Chick;20;Chick;小鸡;15;
Monster_Frog;506;Frog;青蛙;15;
Monster_Kitten;21;Kitten;小猫;15;
Monster_OlympicFlame;27;OlympicFlame;奥运圣火;15;
Monster_Oma;48;Oma;半兽人;15;
Monster_Oma0;49;Oma0;半兽人0;15;
Monster_Wimaen;24;Wimaen;维玛恩;15;
Monster_Currish;36;Currish;野狗;16;
Monster_ForestYeti;55;ForestYeti;森林雪人;16;
Monster_ForestYeti0;56;ForestYeti0;森林雪人0;16;
Monster_Keratoid;70;Keratoid;多角虫;16;
Monster_Keratoid0;71;Keratoid0;多角虫0;16;
Monster_ShellNipper;72;ShellNipper;甲壳蟹;16;
Monster_ShellNipper0;73;ShellNipper0;甲壳蟹0;16;
Monster_SkyStinger;74;SkyStinger;天刺蜂;16;
Monster_SkyStinger0;75;SkyStinger0;天刺蜂0;16;
Monster_SpittingSpider;46;SpittingSpider;喷毒蜘蛛;16;
Monster_VisceralWorm;76;VisceralWorm;洞蛆;16;
Monster_Wolf;35;Wolf;狼;16;
Monster_RedSnake;64;RedSnake;红蛇;17;
Monster_RedSnake0;65;RedSnake0;红蛇0;17;
Monster_RedViper;66;RedViper;红蝮蛇;17;
Monster_SandWorm;77;SandWorm;沙虫;17;
Monster_TigerSnake;67;TigerSnake;虎蛇;17;
Monster_TigerSnake0;68;TigerSnake0;虎蛇0;17;
Monster_AxeSkeleton;87;AxeSkeleton;掷斧骷髅;18;
Monster_AxeSkeleton0;88;AxeSkeleton0;掷斧骷髅0;18;
Monster_AxeSkeleton9;89;AxeSkeleton9;掷斧骷髅9;18;
Monster_Scorpion;84;Scorpion;蝎子;18;
Monster_Skeleton;85;Skeleton;骷髅;18;
Monster_Skeleton0;86;Skeleton0;骷髅0;18;
Monster_TigerViper;69;TigerViper;虎蝮蛇;18;
Monster_Ancient_BoneFighter;102;Ancient_BoneFighter;远古骷髅战士;19;
