ID;Index;EnglishName;ChineseName;FileName;Notes
NPC__Shinsu(Jude);18;_Shinsu(Jude);神兽 朱德;BichonProvince/HighPriestShinsu;
NPC_Accessory_Abbigale;237;Accessory_Abbigale;饰品商 阿比盖尔;WhiteValley/Encampment/Accessory;
NPC_Administrator_Edward;44;Administrator_Edward;管理员 爱德华;BichonProvince/BichonWall/Administrator;
NPC_Administrator_SabukOfficer;304;Administrator_SabukOfficer;沙巴克军务官;MongchonProvince/SabukWall/Conquest;
NPC_Alchemist_Larry;29;Alchemist_Larry;炼金师 拉里;BichonProvince/BichonWall/Potion2;
NPC_Alchemist_Samuel;28;Alchemist_Samuel;炼金师 塞缪尔;BichonProvince/BichonWall/Potion1;
NPC_Apprentice;98;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice;
NPC_Apprentice;99;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice2;
NPC_Apprentice;100;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice3;
NPC_Apprentice;101;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice4;
NPC_Apprentice;102;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice5;
NPC_Apprentice;103;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice6;
NPC_Apprentice;105;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice7;
NPC_Apprentice;106;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice8;
NPC_Apprentice;107;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice9;
NPC_Apprentice;108;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice10;
NPC_Apprentice;109;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice11;
NPC_Apprentice;110;Apprentice;学徒;WoomyonWoods/TaoistVillage/Apprentice12;
NPC_Ashes;182;Ashes;灰烬;MongchonProvince/Ashes;
NPC_Assistant_Jane;3;Assistant_Jane;助手 简;BichonProvince/BorderVillage/Jane;
NPC_Assistant_Julie;57;Assistant_Julie;助手 朱莉;BichonProvince/BichonWall/Downgrade;
NPC_BichonInspector_Anthony;198;BichonInspector_Anthony;比奇巡查官 安东尼;PrajnaIsland/Inspector1;
NPC_BichonSoldier_Frank;227;BichonSoldier_Frank;比奇士兵 弗兰克;WasteLand/Soldier;
NPC_BichonWall_Board;35;BichonWall_Board;比奇城 告示牌;BichonProvince/BichonWall/Board;
NPC_BigTaoist;112;BigTaoist;大道士;WoomyonWoods/TaoistVillage/BigTaoist;
NPC_Blacksmith_Bill;27;Blacksmith_Bill;铁匠 比尔;BichonProvince/BichonWall/Blacksmith;
NPC_Blacksmith_Carlos;177;Blacksmith_Carlos;铁匠 卡洛斯;MongchonProvince/SabukWall/Blacksmith1;
NPC_Blacksmith_Dean;167;Blacksmith_Dean;铁匠 迪恩;MongchonProvince/SabukWall/Blacksmith;
NPC_Blacksmith_Kieron;235;Blacksmith_Kieron;铁匠 基伦;WhiteValley/Encampment/Blacksmith;
NPC_Blacksmith_Smith;5;Blacksmith_Smith;铁匠 史密斯;BichonProvince/BorderVillage/Blacksmith;
NPC_Blacksmith_Wayne;85;Blacksmith_Wayne;铁匠 韦恩;WoomyonWoods/Castle-GI/Blacksmith;
NPC_Bones;185;Bones;白骨;MongchonProvince/Swamp/Bones;
NPC_Book_Vivian;238;Book_Vivian;书商 维薇安;WhiteValley/Encampment/Book;
NPC_BorderVillage_Board;2;BorderVillage_Board;边境村 告示牌;BichonProvince/BorderVillage/BountyBoard;
NPC_BrokenCarriage;119;BrokenCarriage;损坏马车;WoomyonWoods/TaoistVillage/BrokenCarriage;
NPC_Captain_Andrew;241;Captain_Andrew;队长 安德鲁;WhiteValley/Encampment/Captain;
NPC_Captain_Jerald;20;Captain_Jerald;队长 杰拉德;BichonProvince/ArcherCaptain;
NPC_CaveGuide_Paddy;120;CaveGuide_Paddy;洞穴向导 帕迪;WoomyonWoods/TaoistVillage/CaveGuideTV;
NPC_Challange_OldMan;51;Challange_OldMan;试炼老人;BichonProvince/BichonWall/OldmanInfinity;
NPC_ChaosNode;223;ChaosNode;混沌节点;PastBichon/ChaosNode;
NPC_Commander_Luke;62;Commander_Luke;指挥官 卢克;BichonProvince/BichonWall/Luke;
NPC_CraftingVillage_Portal;276;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/Bichon;
NPC_CraftingVillage_Portal;277;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/Border;
NPC_CraftingVillage_Portal;278;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/Serpent;
NPC_CraftingVillage_Portal;279;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/MudWall;
NPC_CraftingVillage_Portal;280;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/CastleGI;
NPC_CraftingVillage_Portal;281;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/Prajna;
NPC_CraftingVillage_Portal;282;CraftingVillage_Portal;工匠村 传送门;CraftingPortal/PastBichon;
NPC_CraftsLady_Alice;55;CraftsLady_Alice;工艺师 爱丽丝;BichonProvince/BichonWall/CraftsLady;
NPC_CraftsLady_Christine;216;CraftsLady_Christine;工艺师 克里斯汀;PastBichon/CraftsLady;
NPC_CraftsLady_Jane;87;CraftsLady_Jane;工艺师 简;WoomyonWoods/Castle-GI/Crafting;
NPC_CraftsLady_Jude;4;CraftsLady_Jude;工艺师 朱德;BichonProvince/BorderVillage/CraftLady;
NPC_CraftsLady_Kimberly;203;CraftsLady_Kimberly;工艺师 金伯莉;PrajnaIsland/CraftLady;
NPC_CraftsLady_Louise;161;CraftsLady_Louise;工艺师 露易丝;MongchonProvince/MudWall/Crafting;
NPC_CraftsLady_Victoria;136;CraftsLady_Victoria;工艺师 维多利亚;SerpentValley/Village/Crafting;
NPC_CrushedBones;122;CrushedBones;碎骨堆;WoomyonWoods/TaoistVillage/TreePath/CrushedBonesTP;
NPC_Drapery_Amanda;236;Drapery_Amanda;布商 阿曼达;WhiteValley/Encampment/Drapery;
NPC_Drapery_Maximus;183;Drapery_Maximus;布商 马克西穆斯;MongchonProvince/BugCave/Clothes;
NPC_Emperor_Far;61;Emperor_Far;皇帝 法尔;BichonProvince/BichonWall/Far;
NPC_Examiner_Tony;38;Examiner_Tony;考官 托尼;BichonProvince/BichonWall/Examiner;
NPC_Excavenger_Stuart;230;Excavenger_Stuart;挖掘者 斯图尔特;WasteLand/Excavenger;
NPC_FishMonger_Laura;240;FishMonger_Laura;鱼贩 劳拉;WhiteValley/Encampment/Fisheries;
NPC_General_Grimchamp;297;General_Grimchamp;将军 格林昌普;WoomyonWoods/SeokchoValley/TrollMine/Transporter;
NPC_General_Jane;299;General_Jane;将军 简;MongchonProvince/Swamp/Transporter1;
NPC_General_Martyn;239;General_Martyn;将军 马丁;WhiteValley/Encampment/General;
NPC_General_Paula;298;General_Paula;将军 宝拉;MongchonProvince/Swamp/Transporter;
NPC_General_Sir.Kevin;221;General_Sir.Kevin;将军 凯文爵士;PastBichon/General;
NPC_GM_Armour;256;GM_Armour;铠甲管理员;GM/GM-Armour;
NPC_GM_Awakening;274;GM_Awakening;觉醒管理员;GM/GM-Awakening;
NPC_GM_Belt;258;GM_Belt;腰带管理员;GM/GM-Belt;
NPC_GM_Book;261;GM_Book;书籍管理员;GM/GM-Book;
NPC_GM_Boot;257;GM_Boot;靴子管理员;GM/GM-Boot;
NPC_GM_Bracelet;253;GM_Bracelet;手镯管理员;GM/GM-Bracelet;
NPC_GM_CraftingMaterial;267;GM_CraftingMaterial;制作材料管理员;GM/GM-CraftingMaterial;
NPC_GM_Fishing;268;GM_Fishing;钓鱼管理员;GM/GM-Fishing;
NPC_GM_Gem;263;GM_Gem;宝石管理员;GM/GM-Gem;
NPC_GM_Grocery;265;GM_Grocery;杂货管理员;GM/GM-Grocery;
NPC_GM_Helmet;259;GM_Helmet;头盔管理员;GM/GM-Helmet;
NPC_GM_Manager;275;GM_Manager;管理员;GM/GM-Manager;
NPC_GM_Meat;264;GM_Meat;肉类管理员;GM/GM-Meat;
NPC_GM_Mount;269;GM_Mount;坐骑管理员;GM/GM-Mount;
NPC_GM_Necklace;254;GM_Necklace;项链管理员;GM/GM-Necklace;
NPC_GM_Nothing;272;GM_Nothing;空白管理员;GM/GM-Nothing;
NPC_GM_Ore;270;GM_Ore;矿石管理员;GM/GM-Ore;
NPC_GM_Potion;266;GM_Potion;药水管理员;GM/GM-Potion;
NPC_GM_Quest;273;GM_Quest;任务管理员;GM/GM-Quest;
NPC_GM_Ring;255;GM_Ring;戒指管理员;GM/GM-Ring;
NPC_GM_Script;271;GM_Script;脚本管理员;GM/GM-Script;
NPC_GM_Stone;262;GM_Stone;石头管理员;GM/GM-Stone;
NPC_GM_Teleporter;300;GM_Teleporter;传送管理员;GM/GM-Teleporter;
NPC_GM_Weapon;260;GM_Weapon;武器管理员;GM/GM-Weapon;
NPC_Grocery_Bull;232;Grocery_Bull;杂货商 布尔;WasteLand/DeadForest/Peddlar;
NPC_Gt_BulletinBoard;365;Gt_BulletinBoard;领地 公告牌;GuildTerritory\GA8\GTBulletinBoard-GA8;
NPC_GT_BulletinBoard;309;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA0\GTBulletinBoard-GA0;
NPC_GT_BulletinBoard;316;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA1\GTBulletinBoard-GA1;
NPC_GT_BulletinBoard;323;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA2\GTBulletinBoard-GA2;
NPC_GT_BulletinBoard;330;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA3\GTBulletinBoard-GA3;
NPC_GT_BulletinBoard;337;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA4\GTBulletinBoard-GA4;
NPC_GT_BulletinBoard;344;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA5\GTBulletinBoard-GA5;
NPC_GT_BulletinBoard;351;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA6\GTBulletinBoard-GA6;
NPC_GT_BulletinBoard;358;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA7\GTBulletinBoard-GA7;
NPC_GT_BulletinBoard;372;GT_BulletinBoard;领地 公告牌;GuildTerritory\GA9\GTBulletinBoard-GA9;
