ID;Index;EnglishName;ChineseName;Group;Notes
Quest_Assistant'sRequest;1;Assistant's Request;助手的请求;BichonProvince;
Quest_TheCraftLady'sRequest;2;The CraftLady's Request;手工匠人的请求;BichonProvince;
Quest_TalkwiththeButcher;3;Talk with the Butcher;与屠夫对话;BichonProvince;
Quest_HuntfortheButcher;4;Hunt for the Butcher;猎杀屠夫;BichonProvince;
Quest_TheSmith's1stTest;5;The Smith's 1st Test;铁匠的第一次考验;BichonProvince;
Quest_Smith's2ndTest;6;Smith's 2nd Test;铁匠的第二次考验;BichonProvince;
Quest_MeettheWarriorInstructor;7;Meet the Warrior Instructor;拜访战士导师;BichonProvince;
Quest_TestfortheFencingSkill;8;Test for the Fencing Skill;基本剑术考验;BichonProvince;
Quest_ToBichon;9;To Bichon;前往比奇;BichonProvince;
Quest_MeettheMageInstructor;10;Meet the Mage Instructor;拜访法师导师;BichonProvince;
Quest_TestfortheFireballSkill;11;Test for the Fireball Skill;火球术考验;BichonProvince;
Quest_ToBichon;12;To Bichon;前往比奇;BichonProvince;
Quest_MeettheTaoistInstructor;13;Meet the Taoist Instructor;拜访道士导师;BichonProvince;
Quest_TestfortheHealingSkill;14;Test for the Healing Skill;治愈术考验;BichonProvince;
Quest_ToBichon;15;To Bichon;前往比奇;BichonProvince;
Quest_MeettheAssassinInstructor;16;Meet the Assassin Instructor;拜访刺客导师;BichonProvince;
Quest_TestforFatalSwordSkill;17;Test for FatalSword Skill;致命剑术考验;BichonProvince;
Quest_ToBichon;18;To Bichon;前往比奇;BichonProvince;
Quest_MeettheArcherInstructor;19;Meet the Archer Instructor;拜访弓手导师;BichonProvince;
Quest_TestforFocusSkill;20;Test for Focus Skill;专注术考验;BichonProvince;
Quest_ToBichon;21;To Bichon;前往比奇;BichonProvince;
Quest_ForestYeti'sThreat;22;Forest Yeti's Threat;森林雪人的威胁;BichonProvince;
Quest_!AttackOma;23;!Attack Oma;！进攻半兽人;BichonProvince;
Quest_HelpBlacksmithJang;24;Help Blacksmith Jang;帮助铁匠张;BichonProvince;
Quest_HuntCannibalPlants;25;Hunt CannibalPlants;猎杀食人花;WoomyonWoods;
Quest_IngredientsfortheAntidote;26;Ingredients for the Antidote;解毒剂材料;BichonProvince;
Quest_Errands;27;Errands;跑腿差事;BichonProvince;
Quest_FindtheWeb;28;Find the Web;寻找蛛网;BichonProvince;
Quest_DeliverRepairOil;29;Deliver Repair Oil;递送修理油;BichonProvince;
Quest_LostRing;30;Lost Ring;丢失的戒指;SerpentValley;
Quest_DelivertheRing;31;Deliver the Ring;归还戒指;SerpentValley;
Quest_Messenger;32;Messenger;传话人;SerpentValley;
Quest_CuretheInsomnia;33;Cure the Insomnia;治疗失眠;SerpentValley;
Quest_SecretRecipeDelivery;34;Secret Recipe Delivery;秘方送达;SerpentValley;
Quest_SerpentValley;35;SerpentValley;蛇谷之行;BichonProvince;
Quest_IngredientsforSnakeWine;36;Ingredients for Snake Wine;蛇酒材料;SerpentValley;
Quest_WineDelivery;37;Wine Delivery;蛇酒送达;SerpentValley;
Quest_FindEbonyFruit;38;Find Ebony Fruit;寻找乌木果实;SerpentValley;
Quest_GreetingstotheOldMan;39;Greetings to the Old Man;问候老人;SerpentValley;
Quest_CleanUp;40;Clean Up;清理怪物;WoomyonWoods;
Quest_GrandadsRequest;41;Grandads Request;爷爷的请求;WoomyonWoods;
Quest_WaytoMongchon;42;Way to Mongchon;通往盟重之路;BichonProvince;
Quest_HelpNeeded;43;Help Needed;紧急求助;BichonProvince;
Quest_HelpSandford;44;Help Sandford;帮助桑福德;SerpentValley;
Quest_RedSnake'sTeeth;45;Red Snake's Teeth;红蛇毒牙;PrajnaIsland;
Quest_SkeletonBones;46;Skeleton Bones;骷髅骨头;BichonProvince;
Quest_Sister'sRing;47;Sister's Ring;姐姐的戒指;BichonProvince;
Quest_DeliverSuppliestotheBorder;48;Deliver Supplies to the Border;向边境运送补给;BichonProvince;
Quest_DangerousSkeleton;49;Dangerous Skeleton;危险的骷髅;BichonProvince;
Quest_CookBookDelivery;50;Cook Book Delivery;菜谱送达;BichonProvince;
Quest_CraftLady'sCanniTea;51;CraftLady's CanniTea;手工匠人的仙人茶;BichonProvince;
Quest_IngredientsforCanniTea;52;Ingredients for CanniTea;仙人茶材料;BichonProvince;
Quest_DeliverCanniTea;53;Deliver CanniTea;递送仙人茶;BichonProvince;
Quest_ZombiesintheMines;54;Zombies in the Mines;矿洞中的僵尸;BichonProvince;
Quest_RestockingSupplies;55;Restocking Supplies;补给再采购;BichonProvince;
Quest_BatWings;56;Bat Wings;蝙蝠翅膀;BichonProvince;
Quest_CollectInformation;57;Collect Information;收集情报;BichonProvince;
Quest_DangerintheCave;58;Danger in the Cave;洞穴危机;BichonProvince;
Quest_RareOre;59;Rare Ore;稀有矿石;BichonProvince;
Quest_HelptheFarmers;60;Help the Farmers;帮助农夫;BichonProvince;
Quest_PartTimeJob;61;Part Time Job;兼职工作;BichonProvince;
Quest_Exterminate;62;Exterminate;歼灭任务;WoomyonWoods;
Quest_FindingaFriend'sRemains;63;Finding a Friend's Remains;寻找好友遗骸;BichonProvince;
Quest_ReturntheNecklace;64;Return the Necklace;归还项链;BichonProvince;
